"date","time","location","bytes","request_ip","method","host","uri","status","referrer","user_agent","query_string","cookie","result_type","request_id","host_header","request_protocol","request_bytes","time_taken","xforwarded_for","ssl_protocol","ssl_cipher","response_result_type","http_version","fle_status","fle_encrypted_fields","c_port","time_to_first_byte","x_edge_detailed_result_type","sc_content_type","sc_content_len","sc_range_start","sc_range_end"
"2022-02-04","17:57:07","PHX50-C1","19770","66.249.74.106","GET","d1wndwkcgt1a74.cloudfront.net","/robots.txt","200","-","Mozilla/5.0%20(compatible;%20Googlebot/2.1;%20+http://www.google.com/bot.html)","-","-","Error","CuVFYW-ote5HQeJ7ksfXuL2ywYLeDXgRDmbVrKJAGbgTT96HJNN3Jg==","psolar.mx","https","225","0.371","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Error","HTTP/1.1","-",,"51217","0.37","Error","text/html","19326",,
"2022-02-04","05:32:43","LAX3-C3","19767","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","200","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Hit","FNSR_tyaRNTIpk5rt27ePsQMjJMZJ4TuS9uGCcLTI4ZGk3O87AF5Ag==","psolar.mx","https","438","0.001","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/1.1","-",,"52142","0.001","Hit","text/html","19326",,
"2022-02-02","02:37:13","PHX50-C1","19656","40.77.167.96","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(compatible;%20bingbot/2.0;%20+http://www.bing.com/bingbot.htm)","-","-","Hit","WDg6y6kASdS1RhdNL63E3jgFFUme29RAmn-QKScljFznQP0oW9cK5A==","psolar.mx","https","125","0.007","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/2.0","-",,"41408","0.007","Hit","text/html","19326",,
"2022-02-01","05:11:20","LAX50-C1","114341","54.227.201.181","GET","d1wndwkcgt1a74.cloudfront.net","/elm.js","200","https://psolar.mx/contacto/","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/94.0.4606.81%20Safari/537.36","-","-","Hit","dWVok93vas8zf4bPDi1iEJZuUSz0XQBWBsZejn1U2g-__e2gL-tceQ==","psolar.mx","https","45","0.036","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"43086","0.032","Hit","application/javascript","113904",,
"2022-02-01","05:11:23","LAX50-C1","632","54.227.201.181","GET","d1wndwkcgt1a74.cloudfront.net","/contacto","302","-","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/94.0.4606.81%20Safari/537.36","-","-","Hit","XvFUTeh5IfBiTNDRZpILn9VhTgGq0L1gRHnpb6BpSYa6voUG7mY4Ng==","psolar.mx","https","226","0.003","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"41046","0.003","Hit","text/html;%20charset=utf-8","313",,
"2022-02-01","05:11:23","LAX50-C1","12053","54.227.201.181","GET","d1wndwkcgt1a74.cloudfront.net","/contacto/","200","-","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/94.0.4606.81%20Safari/537.36","-","-","Hit","9ZOjgnETn3fhHuvZB_JriQus29LvkKzcF6a8x15w1wEhqFt4wnKggQ==","psolar.mx","https","25","0.002","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"41046","0.002","Hit","text/html","11735",,
"2022-02-01","05:11:23","LAX50-C1","114352","54.227.201.181","GET","d1wndwkcgt1a74.cloudfront.net","/elm.js","200","https://psolar.mx/contacto/","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/94.0.4606.81%20Safari/537.36","-","-","Hit","Uw7kMSAPUP9s8PCcIflavXh8w75CjZ6GPhrOPiP7fZgGzdHwozzXlg==","psolar.mx","https","45","0.001","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"41046","0.001","Hit","application/javascript","113904",,
"2022-02-02","00:21:19","LAX50-C1","575","103.147.185.14","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/79.0%20Safari/537.36","-","-","Redirect","PGObmR9JU9AdG_R8kc5njzkm4-N2JPO-WjBIciiB54i6DfDaXHoxnQ==","psolar.mx","http","302","0.0","-","-","-","Redirect","HTTP/1.1","-",,"51031","0.0","Redirect","text/html","183",,
"2022-02-02","00:21:23","LAX50-C1","19770","103.147.185.14","GET","d1wndwkcgt1a74.cloudfront.net","//blog/wp-includes/wlwmanifest.xml","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/79.0%20Safari/537.36","-","-","Error","1mDS-BCcjdCFeE-LuN-vcE96nwPe11s03NCTPUqCVVuUQnR0eOSV6w==","psolar.mx","https","335","0.207","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Error","HTTP/1.1","-",,"53965","0.207","Error","text/html","19326",,
"2022-02-05","08:47:03","LAX50-C1","19652","189.212.121.75","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(X11;%20Linux%20x86_64;%20rv:96.0)%20Gecko/20100101%20Firefox/96.0","-","-","RefreshHit","w3OijQsF7Q6PlFPsBV81OqE4FQ7_sO04P4knQES8T5mxHhMqvtK8nA==","psolar.mx","https","280","0.212","-","TLSv1.3","TLS_AES_128_GCM_SHA256","RefreshHit","HTTP/2.0","-",,"37524","0.212","RefreshHit","text/html","19326",,
