,,dac,dac,1c,1c,1c,1c,1c,1c,1c,1c,1e,1e,1e,1e,1e,1e,1e,1e,PDBT,PDBT,,,,,
,,fijo,var,dac,b,b,i1,i1,i2,i2,i3,dac,b,b,i1,i1,i2,i2,i3,fijo,var,,,,,
,,p,p,lim,p,s,p,s,p,s,p,lim,p,s,p,s,p,s,p,p,p,,,,,
mes,días,dacfijop,dacvarp,1cdaclim,1cbp,1cbs,1ci1p,1ci1s,1ci2p,1ci2s,1ci3p,1edaclim,1ebp,1ebs,1ei1p,1ei1s,1ei2p,1ei2s,1ei3p,PDBTfijop,PDBTvarp,,,,,
201706,30,98.71,3.977,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,65.18,3.457,,,,,
201707,31,98.86,3.971,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,65.28,3.451,,,,,
201708,31,98,3.903,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,64.71,3.394,,,,,
201709,30,97.51,3.867,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,64.39,3.361,,,,,
201710,31,97.71,3.891,850,0.793,75,0.956,100,2.802,0,0,2000,,300,,450,,150,,64.52,3.382,,,,,
201711,30,98.04,3.948,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,64.74,3.431,,,,,
201712,31,99.6,3.986,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,53.3,2.518,,,,,
201801,31,100.63,4.103,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,52.47,2.223,,,,,
201802,28,100.77,4.164,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,52.47,2.184,,,,,
201803,31,102.24,4.327,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,52.47,2.37,,,,,
201804,30,102.45,4.211,850,0.697,150,0.822,150,1.05,150,2.802,2000,,75,,125,,0,,52.47,2.515,,,,,
201805,31,102.79,4.143,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,52.47,2.688,,,,,
201806,30,102.8,4.362,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,52.47,2.865,,,,,
201807,31,104.77,4.464,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,52.47,3.136,,,,,
201808,31,106.68,4.493,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,52.47,3.444,,,,,
